text,date,from
So apparently the best news to tell to the people who run this country is that the pubs are going to open again. That&#39;s promising...,20200623,Guardian
So basically I can play rugby with my nan,20200623,Guardian
"Don’t meet in house holds, just in restaurants and pubs? <br>One meter and a bit? So there is no real guidelines at all?",20200623,Guardian
<b>and this is where chapter 2 began son</b><br><b>The Second Wave</b>,20200623,Guardian
It’s like watching Chernobyl on Sky they haven’t a clue.,20200623,Guardian
"So In Summary For Anyone Wondering From 4th July Unless Stated:<br><br>• 2m Rule Reduced To 1m+<br>• 2 Households Can Meet Indoors and Outdoors, But Indoors Discouraged Due To Greater Risk Of Transmission<br>++ Hotels and Campsites <br>• Restaurants and Pubs To Open But With Fewer Staff And Table Service Oriented<br>• Barbers To Open But Wearing Visors When Getting A Cut<br>• Nail Salons/Bars With Similar Restrictions But This May Come A Little Later<br>• Public Monuments and Tourist Attractions To Open If They Can Do So Safely<br>• Including: Outdoor Gyms, Playgrounds, Cinemas, Museums, Galleries, Arcades, Social Clubs and Community Centres<br>• Close Proximity Venues Such As Indoor Gyms, Nightclubs, Soft Play Areas, Swimming Pools, Bowling Alleys, Water Parks and Spas Will Need To Remain Closed For Now <br>• Working With Choirs, Orchestras and Theatres To Resume Live Performances ASAP<br>• Places Of Worship To Open For Prayer <br>• Weddings With A Max Of 30 People<br>• Wrap Around Care For School Aged Children And Child Care Will Restart in The Summer<br>• Primary And Secondary Schools Will Re-Commence in September With Full Attendance",20200623,Guardian
nail bars but no gyms? :(,20200623,Guardian
Bojo loves three word slogans and his  latest one is &quot;make it up&quot;,20200623,Guardian
gym gym gym!!!,20200623,Guardian
Second surge here we go lol,20200623,Guardian
Who is that drunken Muppet randomly calling out?,20200623,Guardian
"Hair salons might open, but Boris won’t be going as I’m not sure he even showers. Besides he goes to the same “tremendous hair experts” as his buddy donnie.",20200623,Guardian
BJ was already social distancing from the combs and now I see he escapes from the scissors too,20200623,Guardian
Nothing about the DVLA driving lessons / tests? AHHHHHHHHH,20200623,Guardian
&quot;ditches 2 metre rule&quot;,20200623,Guardian
Is this guy for real? Has the virus become less contagious and can only travel 90cm now? We are definitely in the golden age of stupidity.,20200623,Guardian
So we can go to the pub with our mates but I still can&#39;t go down the gym to stay healthy. Disgusting 🙄,20200623,Guardian
"they&#39;re opening everything except close-contact sports, go drink alcohol, eat junk food, you can even riot in the streets if you want to...but training sports, well, we can&#39;t let that happen can we?",20200623,Guardian
No to medical discrimination.<br>No to vac-passports. <br>It&#39;s all a con  !,20210622,DailyMail
"Democracy, respect, decency, free speech traditional British tolerance all destroyed by this traitor government and their lackeys",20210622,DailyMail
They will be jabbing you 4 or more times a year if you let the but half the people dont want the jab full stop..covid is vastly exaggerated just to get you jabbed,20210622,DailyMail
Explain how this isn’t discriminatory towards those that medically cannot have the jab. Are they banned from travelling or will they be made to pay out for pcr tests? This is discrimination,20210622,DailyMail
Tories: Lockdowns must continue<br>Labour:  You aren&#39;t locking down hard enough.,20210622,DailyMail
In other words: surrender your taxes and your bodies to our friends in big Pharma or no more holidays for you!,20210622,DailyMail
"Is anyone else feeling uneasy at the fact that they’re pushing and pushing for people to get vaccinated, they actually won’t be happy until everyone is vaccinated and even then they’ll still be pushing for something else",20210622,DailyMail
"2000 VIP&#39;$ allowed to travel freely to the UK to watch the Euro football matches, as well as the thousands of immigrants coming to the UK illegally",20210622,DailyMail
"All he seems bothered about is people being jabbed from an illness with a 99.97 survival rate.<br>Mike Yeadon said vaccination should only be for medical reasons. In other words, not so you can go on holiday, which you should be able to do anyway",20210622,DailyMail
He doesn’t realise he is expendable. All these Tools will be thrown under the bus.,20210622,DailyMail
"If they are forcing you to take an experimental vaccine (mRNA) to “return to normal”, THAT IS NOT NORMAL",20210622,DailyMail
Do not be forced into having this jab it&#39;s your body your choice,20210622,DailyMail
“We’ll have to look…” He said that a lot. Means he doesn’t have to come up with anything right now.,20210622,DailyMail
Don&#39;t forget another 2jabs next year when the experiment hasn&#39;t gone their way.,20210622,DailyMail
"Blackmail, deceit, lies and coercion. Protect your children and families from this poison",20210622,DailyMail
Bring on Nuremberg 2 - can&#39;t happen too soon for these politicians.,20210622,DailyMail
You need to take a comprehensive look at the people getting ill after having the you know what.,20210622,DailyMail
"Wow a legit 99% dislikes, definitely civil war coming...also as soon as the double jabbed fly, blood clot cases will sky rocket, so please, proceed, if you dare...",20210622,DailyMail
No government has the right to restrict free movement.  These criminals need locking up,20210622,DailyMail
Pure unadulterated Segregation and Apartheid throught perceived health status.,20210622,DailyMail
Good luck trying to control 60m people on Christmas Day,20201013,Independent
"Remember when he said the same about not having a lockdown. He already knows what his plan is, but words it in a way which means he can Blame our own captivity on us",20201013,Independent
"<b>Lets not come through this like Sweden did. Lets continue with policies that didn&#39;t work, destroy the economy, create massive unemployment then raise taxes massively.</b>",20201013,Independent
Uk government absolute disgraceful,20201013,Independent
This government is a joke but no ones laughing,20201013,Independent
Better not get on Boris Claus&#39; naughty list - you will get a red traffic light and no prezzies,20201013,Independent
LOOOLL why do these people think they have the control over our Christmas😂😂😂😂😂,20201013,Independent
"Johnson &quot;I, on the other hand, will do whatever the hell I please.&quot;",20201013,Independent
He doesn’t even dare debate anyone with a normal perspective,20201013,Independent
"Just think about how this sounds for a second. ‘Do as we say, and you can have a Christmas with your families this year’. The overwhelming majority have complied since March, with only a relative minority by comparison breaking restrictions put in place. It’s not made one bit of difference. We’ve been doing this for 7 months now and nothing has changed, we’re right back at square one again. I’m not buying that the public are to blame in any way for this, not when most of us have done as asked for what has been a few months shy of a YEAR with nothing to show for it. Enough is enough.",20201013,Independent
"In other words: &quot;Do as you&#39;re told, children, otherwise I won&#39;t let you have Christmas.&quot;<br><br>Sorry, but nope. We&#39;re fully grown adults, you New World Order puppet controlled by Klaus Schwab.",20201013,Independent
The council tax keeps coming. Paying for a shut down country pmsl.,20201013,Independent
Well were having a normal Christmas anyway. We&#39;d even have a Happy Christmas if I saw this clown as a tree decoration on the tree in Trafalgar Square.,20201013,Independent
These politicians must be tried for treason.,20201013,Independent
"Disgusting. How can people who have lost their jobs, their livelihoods and their social ability able to have a normal Christmas? Poor parents forced to get into debt to pay for presents they simply can’t afford, put out of work by their own government",20201013,Independent
Could all be over tomorrow if people stopped going for tests and we stopped listening to the BBC,20201013,Independent
Threats. “You do what we say or Christmas is cancelled and you can’t see your family” “you do what we say or you get a 10 grand fine” pathetic,20201013,Independent
How the hell are people still defending this guy,20201013,Independent
"“Unless I&#39;m at a wedding, I don&#39;t like veiled threats.&quot;<br>Author: Jarod Kintz",20201013,Independent
STOP BLAMING US AND BLAME YOUR ELITE CONTROLLERS! KNOB,20201013,Independent
Let’s be honest even when we were in lockdown and we were “supposed” to social distance people don’t even care and just walk right next to you like if it’s normal...,20200630,BBC
&quot;This city is just being picked on&quot; is she serious...,20200630,BBC
And you say if China had only told you earlier about the virus. Wouldn’t change the fact that the us and England are so incompetent at handling the virus.,20200630,BBC
They seem pretty mad about it <br><br>Red Leicester 😡 <br><br>*cheesy joke,20200630,BBC
&quot;covid 19 is spreading faster here than anywhere else&quot;<br><br>Where&#39;s your mask then? 🙄,20200630,BBC
The lock down in UK is not even a lock down..and they complain of the virus spreading like fire,20200630,BBC
They shouldn’t have allowed travel to and from the uk back when this was heating up,20200630,BBC
"I get my medical advice from Boris Johnson, because I am not very intelligent",20200630,BBC
"Confused, worried, alarmed, scared and bewildered people are the perfect targets for manipulation.",20200630,BBC
Go back to where you came from.<br><br>What I&#39;m from Birmingham. <br><br>Ooo thought you were Leicesterian.,20200630,BBC
"seems like a propagandised threat from the government... &quot;look what happens when you don&#39;t obey&quot;. keep an eye out for a massive surge of unemployment and see how many people are forced to apply for universal credit. eventually you will require a permit/proof of vaccination before you leave the house, enter a building, leave the city etc.",20200630,BBC
"I’m from Leicester, and people saying we’re being picked on and the treatment unfair is stupid. We have had a spike in cases due to ridiculous large households and the government have protected us... so fair play to them.",20200630,BBC
SCAM SCAM SCAM !  AGENDA 2030  !,20200630,BBC
I went down the rabbit hole about 15yrs ago been watching stuff the sheeple still wouldnt understand. The first thing i learnt about world politics is In order to get control you first have to create chaos ! Its obvious its in front all of our eyes but if you choose to watch love island n eastenders etc instead then your gonna think im mad.,20200630,BBC
"Testing your eyesight by taking your wife and child to a local beauty spot is considered essential travel, right?",20200630,BBC
Can see the whole uk locking down again soon!! No one seems to care and no on seems to be taking the severity of it!,20200630,BBC
People’s businesses are expected to what... somehow survive during lockdown?,20200630,BBC
I think we should put it in a big bubble like in the Simpson’s movie.,20200630,BBC
I expect more 🔐 after the pubs open this hotter weekend. Probably London next 🤔🤒😷,20200630,BBC
Makes me laugh......people have been completely flouting the lockdown rules and guess what it&#39;s the government&#39;s fault!!!,20200630,BBC
Anyone still paying any attention to these idiots?,20201216,Independent
Worst Prime Minister of my life time.,20201216,Independent
"Cancel everything. Just get on with it. Cancel the sun rising, cancel the tides ebbing and flowing. Somebody stop the world from rotating. Everything is cancelled. If you see anything, cancel it. In fact cancel seeing. And smelling. And hearing. Cancel the milk. Cancel your various subscriptions. Cancel this, cancel that and make a note to cancel the other. And when all that is done, cancel cancelling.",20201216,Independent
"Think about this, your Government, put into public service &amp; paid for thanks to the public, have confirmed that for 5 days over Christmas the great British public may be trusted to be responsible. But after that, must go back to doing as we say.<br>Presumably because us thickos that actually run the country can&#39;t manage more than 5 day&#39;s responsibility. The scariest punchline to this? So many people will still do as they are told.",20201216,Independent
"\"<a href=\"\"https://www.youtube.com/watch?v=2deC7eBfGvM&amp;t=0m42s\"\">0:42</a> That wig tho!!!\"",20201216,Independent
Isn’t it time for these clowns to be locked up?,20201216,Independent
Christmas is the season of GOD and Jesus! Get over yourself...,20201216,Independent
"Covid exists, but by far the most dangerous virus is politicians. Useless, out of touch, ill informed fools. Running scared and don&#39;t know how to stop.",20201216,Independent
Stop getting tested and they won&#39;t be able to use the false positives to lock us down.,20201216,Independent
"Here&#39;s hoping people show extreme caution over this killer disease.<br>My neighbours 17yr old son caught it. He had a cough for 2 days and a headache for 3 hours, how he survived that is anyones guess.<br>2 whole days!!!!!!!",20201216,Independent
"DEEP STATE OPERATIVES ALL OVER BRITAIN, WE NEED TO OUT THESE FOOLS",20201216,Independent
"Here&#39;s an idea Johnson;Go and talk to real scientists,not those idiots at SAGE ,and get the real facts and figures.<br>Then you might not end up using lies and manipulation to suppress the people you are supposed to be serving.<br>Release your massive stock of hydroxychloroquine and put an end to this farce almost immediately.<br>What&#39;s that? Ah yes you&#39;ve got to consider all your corrupt mates and the contracts you&#39;ve issued,and of course all the vaccine profits.",20201216,Independent
Boris! Tell that to your father!!!,20201216,Independent
"What a flipping pamtomine, I wouldn&#39;t mind but the actors suck!",20201216,Independent
How the lies roll from his flabby tongue 🤮 only the brain dead morons are still listening !,20201216,Independent
"\"MSM / BiT / SAGE &amp; the govt of occupation are culpable in causing Stockholm syndrome within the UK populace &amp; will be held accountable for their actions. <a href=\"\"https://www.bitchute.com/video/akE3uenqTfOj/\"\">https://www.bitchute.com/video/akE3uenqTfOj/</a> <a href=\"\"https://www.bitchute.com/video/5P2lr0ifc77S/\"\">https://www.bitchute.com/video/5P2lr0ifc77S/</a> <a href=\"\"https://www.youtube.com/watch?v=hJvQoTEdy-s\"\">https://www.youtube.com/watch?v=hJvQoTEdy-s</a> <a href=\"\"https://www.bitchute.com/video/elCAdH9rst4X/\"\">https://www.bitchute.com/video/elCAdH9rst4X/</a> <a href=\"\"https://www.express.co.uk/news/uk/1356770/Coronavirus-lockdown-statistics-chris-whitty-patrick-vallance\"\">https://www.express.co.uk/news/uk/1356770/Coronavirus-lockdown-statistics-chris-whitty-patrick-vallance</a> <a href=\"\"https://www.facebook.com/Breesmedia/videos/675925713325619\"\">https://www.facebook.com/Breesmedia/videos/675925713325619</a> <a href=\"\"https://www.facebook.com/emmakennytv/videos/366493191335827\"\">https://www.facebook.com/emmakennytv/videos/366493191335827</a> <a href=\"\"https://consentfactory.org/2020/10/13/the-covidian-cult/?blogsub=pending#subscribe-blog\"\">https://consentfactory.org/2020/10/13/the-covidian-cult/?blogsub=pending#subscribe-blog</a> <a href=\"\"https://www.youtube.com/watch?v=ZnpnBYgGARE&amp;feature=youtu.be\"\">https://www.youtube.com/watch?v=ZnpnBYgGARE&amp;feature=youtu.be</a> <a href=\"\"https://www.facebook.com/yaliberty/videos/4653729178031272\"\">https://www.facebook.com/yaliberty/videos/4653729178031272</a> <a href=\"\"https://www.youtube.com/watch?v=YvYzf0MqObg&amp;feature=youtu.be\"\">https://www.youtube.com/watch?v=YvYzf0MqObg&amp;feature=youtu.be</a> <a href=\"\"https://www.facebook.com/DispatchesC4/videos/1040963966345010\"\">https://www.facebook.com/DispatchesC4/videos/1040963966345010</a> <a href=\"\"https://www.bitchute.com/video/XO6FwKcpenlm/\"\">https://www.bitchute.com/video/XO6FwKcpenlm/</a> <a href=\"\"https://www.bitchute.com/video/BRwlwrOkVW5g/\"\">https://www.bitchute.com/video/BRwlwrOkVW5g/</a> <a href=\"\"https://markcrispinmiller.com/2020/11/the-greatest-hoax-ever-perpetrated-on-an-unsuspecting-public-dr-roger-hodkinson-cambridge-trained-pathologist-blasts-covid-measures-as-outrageous-in-a-private-meeting-with-canadian-offici/\"\">https://markcrispinmiller.com/2020/11/the-greatest-hoax-ever-perpetrated-on-an-unsuspecting-public-dr-roger-hodkinson-cambridge-trained-pathologist-blasts-covid-measures-as-outrageous-in-a-private-meeting-with-canadian-offici/</a> <a href=\"\"https://www.youtube.com/watch?v=nuDQ_3g53qc\"\">https://www.youtube.com/watch?v=nuDQ_3g53qc</a> <a href=\"\"https://www.youtube.com/watch?v=-43pjRwkVMU\"\">https://www.youtube.com/watch?v=-43pjRwkVMU</a> <a href=\"\"https://healthtruth.info/we-need-to-focus-on-the-immune-system-in-the-next-virus-season/\"\">https://healthtruth.info/we-need-to-focus-on-the-immune-system-in-the-next-virus-season/</a> <a href=\"\"https://www.youtube.com/watch?v=kMWBjWQrmfU\"\">https://www.youtube.com/watch?v=kMWBjWQrmfU</a> <a href=\"\"https://www.facebook.com/photo?fbid=10157599457638038&amp;set=a.10151623297468038\"\">https://www.facebook.com/photo?fbid=10157599457638038&amp;set=a.10151623297468038</a> <a href=\"\"https://www.rt.com/op-ed/507937-covid-pcr-test-fail/\"\">https://www.rt.com/op-ed/507937-covid-pcr-test-fail/</a>  <a href=\"\"https://lockdownsceptics.org/pcr-based-covid-testing-has-failed-us/\"\">https://lockdownsceptics.org/pcr-based-covid-testing-has-failed-us/</a> <a href=\"\"https://cormandrostenreview.com/report/\"\">https://cormandrostenreview.com/report/</a> <a href=\"\"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/940565/Information_for_Healthcare_Professionals_on_Pfizer_BioNTech_COVID-19_vaccine.pdf\"\">https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/940565/Information_for_Healthcare_Professionals_on_Pfizer_BioNTech_COVID-19_vaccine.pdf</a> <a href=\"\"https://2020news.de/en/dr-wodarg-and-dr-yeadon-request-a-stop-of-all-corona-vaccination-studies-and-call-for-co-signing-the-petition/\"\">https://2020news.de/en/dr-wodarg-and-dr-yeadon-request-a-stop-of-all-corona-vaccination-studies-and-call-for-co-signing-the-petition/</a> <a href=\"\"https://www.bitchute.com/video/nrYQCTwgXa8z/\"\">https://www.bitchute.com/video/nrYQCTwgXa8z/</a> <a href=\"\"https://www.youtube.com/watch?v=y-QQdheISPI\"\">https://www.youtube.com/watch?v=y-QQdheISPI</a> <a href=\"\"https://off-guardian.org/2020/11/17/covid19-evidence-of-global-fraud/\"\">https://off-guardian.org/2020/11/17/covid19-evidence-of-global-fraud/</a> <a href=\"\"https://www.bitchute.com/video/2Rp31vWUJgMO/\"\">https://www.bitchute.com/video/2Rp31vWUJgMO/</a> <a href=\"\"https://www.thelondoneconomic.com/politics/bmj-lashes-out-at-uk-state-corruption-and-suppression-of-science/16/11/\"\">https://www.thelondoneconomic.com/politics/bmj-lashes-out-at-uk-state-corruption-and-suppression-of-science/16/11/</a>\"",20201216,Independent
Lockdown means Lockdown !,20201216,Independent
Look at his hair lol how does one take him seriously,20201216,Independent
we need labour we should have locked down on January 17th!!!!!,20201216,Independent
"\"كنتمنى لي شاف هاد لكومنتير لله إجعل ولديه إدخلو الجنة وكنتمنى دير ليا ابوني راه الحلم ديالي 1k حققو ليا هاد لحلم بروجولة أخوتي 🙏 فضﻻ وليس امرا.<br><a href=\"\"https://www.youtube.com/channel/UCnGp09MN6Rs4_3qo3ptYk1A\"\">https://www.youtube.com/channel/UCnGp09MN6Rs4_3qo3ptYk1A</a>\"",20201216,Independent
why don&#39;t they show the excess deaths graphic??? stop lying to people,20201105,SUN
"Lockdown, Right. Everything needs to close down, but schools are open. INTERESTING.",20201105,SUN
"495 deaths aren’t the number of deaths per day, they are the number of deaths over several days and the figure came out yesterday! Stop lying!!!!!",20201105,SUN
Close school man what is hard in that probably everything,20201105,SUN
"Heart attack = covid<br>Stroke           = covid<br>Cancer          = covid <br>Ect, ect, ect.....",20201105,SUN
"Costa Coffee, Starbucks, Argos and other big corporations still open, what kind of Lockdown is this? it is a complete fraud.",20201105,SUN
Just close schools cuz ps5 releasing and the new cod!!!,20201105,SUN
"Plz close schools.. there is no point opening schools coz it’s the same crowd on roads and buses full of parents , students and staff..",20201105,SUN
is anyone still in doubt what is happening?,20201105,SUN
"Boris: &quot;if the vaccines don&#39;t work, then we will go down the testing route like Slovakia&quot; <br>Oh great. Perfect. Endless testing forever.",20201105,SUN
Help us they made us HEADACHE AND SLEEP LESS LONG TIME THEY ARE HITLER S,20201105,SUN
Destroying Britain`s economy and ushering in the NWO/communism,20201105,SUN
I say we defund THEM,20201105,SUN
Why are there loads of beds in the Nightingales  and only a tenth of the staff for 300 beds? WHY re they not future proofing and opening up more places at med schools ? Why are med/Bio Med students  in England  having to pay ridiculous fees? HE IS A DITHERING LIAR .,20201105,SUN
"And the truth is, there is something terribly wrong with this country, isn&#39;t there?   - Alan Moore",20201105,SUN
And that&#39;s how you get lockdown suicides.,20201105,SUN
Poco es,20201105,SUN
Was this guy always this delusional?,20201105,SUN
The coronavirus is the new weapons of mass destruction. Government lied over Iraq war. They are now lying over covid-19  as the new deadly threat.,20201105,SUN
Does ‘LOCKDOWN’ proceeds to send 15% of the British population to an education center. I don’t see how education is more valuable then sometime ours or our loved ones,20201105,SUN
"Look at all the gatherings look at the parks , Scotland’s out of lockdown hen you just don’t know it.",20210601,Guardian
Shame on anyone who voted for this dictator...,20210601,Guardian
36 suicides in last 48 hours mainly young people who cannot cope with restrictions.<br><br>1 covid death in same period let&#39;s keep restrictions makes perfect sense!!!,20210601,Guardian
"Wee Jimmy gets voted back in, the easing of lockdown gets reversed, Gosh! who saw that coming?",20210601,Guardian
These politicians are delusional...most people are getting on with their lives.,20210601,Guardian
"For all the Scottish people complaining, you lot are the ones that keep voting for her.",20210601,Guardian
Give &#39;em 2 weeks and they&#39;ll take 2 years.,20210601,Guardian
"C A S E S<br><br>V A R I A N T S<br><br>Ahhh panic, 0 deaths today, apocalypse! Hide forever!",20210601,Guardian
"I won yet another bet,, if you think these tyrants will let their powers go then think again... 2 weeks to flatten the curve.",20210601,Guardian
Aren&#39;t Scottish people sick of this woman&#39;s ego trip?,20210601,Guardian
Sturgeon you are the weakest link goodbye 👋,20210601,Guardian
Great context.everyone needs more than there salary to be financially stable.the best thing to do with your money is to invest it rightly.because money left for saving always end up used with no returns.i started investing in Bitcion mid November 2020 with the help of a well-known professional Mr Ion Mitus  and the entire profit funded my duplex🇱🇷,20210601,Guardian
<b>Looks like Boris gonna go forward with the June opening</b><br><br>Nicola: Time to play politics and do the opposite..,20210601,Guardian
Take your freedom back <br>Do not comply.,20210601,Guardian
Wee cranky telling the scottish people what they can and can&#39;t do in their private lives Power-hungry harpie,20210601,Guardian
Demon woman,20210601,Guardian
"Nicola will not be giving up anything ,<br>.",20210601,Guardian
What an absolute rocket job 🪓🪓,20210601,Guardian
No problem flattening your own imaginary curves hen...,20210601,Guardian
As if anyone thinks this exceptionally immature person has any control over anything. To be honest nothing more than a very silly little person playing on the big stage. How are the finances Nicola?,20210601,Guardian
"The definition of madness is doing the same thing over and over and expecting a different result,  god help wales under Kim Jong drakeford",20201216,Independent
We can end this madness by voting Abolish next May.,20201216,Independent
Yes because Wales’s restrictions have worked so well...,20201216,Independent
A quick translation. Punishment for celebrating Xmas.,20201216,Independent
Who’s paying for it all 🤪 biggest scam in history,20201216,Independent
"These leaders are playing by Orwellian rules where everything is the opposite of its meaning. They say their saving lives, when in reality, they&#39;re are willfully killing  people...fact!!!",20201216,Independent
This guy is a joke,20201216,Independent
"He loves it, doesn&#39;t he?",20201216,Independent
"This man is a crank!!!  The economy is the main priority, your nation will be extremely poor and unfit, terrible policy’s.....",20201216,Independent
So lockdowns worked ? FFS wake up people 🐑,20201216,Independent
"Oh what, another circuit break or was a fire break, whatever they called it, it didn&#39;t work but don&#39;t let that stop them trying it all over again. After all its only thousands of people&#39;s livelihoods going down the drain every time for nothing. Still the politicians and civil servants don&#39;t care about that because their jobs are safe aye. 🤔This is the same mentality that kept sending men over the top to get cut down during the first world war even though it got them nowhere.",20201216,Independent
Ever feel like you&#39;re sitting in a primary school assembly being addressed by the Principle?,20201216,Independent
I can&#39;t believe these liars are getting away with it. Take off your masks and just say No!!!!!!<br><br>We are THE PEOPLE!!!!!,20201216,Independent
Worked a treat last time 🤣,20201216,Independent
I&#39;m amazed how my people of Wales keep voting for labour...Mark Drakeford is just loving his little bit of fame and power...he really hasn&#39;t got a clue....he looks so weak and pathetic....a common cold would knock him out...😎,20201216,Independent
merry christmas heres another lockdown for you how many more lockdowns you can see that they are not working.,20201216,Independent
Don’t listen to the liar it’s all a con!,20201216,Independent
Hasn&#39;t got a clue,20201216,Independent
Even the guy doing sign language is like we are all screwed,20201216,Independent
I live in Conwy County and we aren&#39;t doing that bad compared to most of South Wales yet we are to punished likewise! Bollocks!,20201216,Independent
"Closing the schools in Leicester, yet BJ wants all kids back in school in September or else parents get fined. Huh? Is there any joined up thinking going on in these so-called experts’ meetings?",20200629,SUN
Three cheers for Matt Hancock who&#39;s videos have helped the nation get a good nights sleep. Who needs sleeping tablets when Matts on T.V. Thanks Matt.,20200629,SUN
They want you to wear a mask in the airport keeping 2 metres apart but on the plane you are crammed in like sardines total lunar see if you ask me,20200629,SUN
If anyone living in Leicester has a 2nd home now is a good time to go! Get your eyesights tested on a 260 mile drive.,20200629,SUN
The worlds gone mad,20200629,SUN
Living like this it&#39;s crap isn&#39;t it,20200629,SUN
"From September, MP&#39;s should be fined for not attending these boring meetings in the House of Commons.",20200629,SUN
I wonder if in a few weeks they will close the non essential shops in the UK?,20200629,SUN
China&#39;s talking about a flu virus coming from pigs now that could become a pandemic,20200629,SUN
Handcock,20200629,SUN
Biggest hoax I have ever seen my word we are in a twilight zone,20200629,SUN
Incomes hostile Leicester’s Community...,20200629,SUN
Tories doing all they can to lose voters.,20200629,SUN
He doesn’t know what he’s on about.  <br>Again.,20200629,SUN
Leicester live maters let&#39;s bit the system,20200629,SUN
"And people will plead and beg for the vaccine!! all part of the plan, the new world order is now in full swing first wave was a test this however will be the beginning of the end, people please wake up to the corruption!!",20200629,SUN
No not true. All Lies No more lock downs!!!!!!!!!,20200629,SUN
Maybe they’ve installed a few 5G network in Leicester?,20200629,SUN
More BS,20200629,SUN
Come on leicester protest!,20200629,SUN
My cats got a better social life than me !,20210105,BBC
"I&#39;m guessing the billions spent on test and trace didn&#39;t work then, oh well their mates got rich",20210105,BBC
If lockdown worked why is there going to be another one.<br><br>if lockdown didn&#39;t work why is there going to be another one.,20210105,BBC
This is just insanity now ffs,20210105,BBC
I have heard this one before in March 2020,20210105,BBC
The only thing he should be announcing is his resignation.,20210105,BBC
He can&#39;t even control his hair.,20210105,BBC
Boris Johnson in 2025: in the next few months the virus will be relieved from society,20210105,BBC
"Welcome to the thunderdome, <br>Two covids enter,<br>No one leaves.",20210105,BBC
"This is getting out of hand, now there are two of them.",20210105,BBC
